Plot ,Code,Description,,
1,PLPHMNC1P,Plough low pressure high moisture no cover crop 1 Pass,,
2,PHPLMCC3P,Plough high pressure low moisture cover crop 3 Passes,,
3,PLPHMNC3P,Plough low pressure high moisture no cover crop 3 Passes,,
4,PHPLMNC1P,Plough high pressure low moisture no cover crop 1 Pass,,
5,PLPLMNC3P,Plough low pressure low moisture no cover crop 3 Passes,,
6,PHPLMNC3P,Plough high pressure low moisture no cover crop 3 Passes,,
7,PLPLMNC1P,Plough low pressure low moisture no cover crop 1 Pass,,
8,PHPHMNC1P,Plough high pressure high moisture no cover crop 1 Pass,,
9,PHPHMCC1P,Plough high pressure high moisture cover crop 1 Pass,,
10,PLPHMCC1P,Plough low pressure high moisture cover crop 1 Pass,,
11,PHPHMCC3P,Plough high pressure high moisture cover crop 3 Passes,,
12,PLPLMCC3P,Plough low pressure low moisture cover crop 3 Passes,,
13,PLPHMCC3P,Plough low pressure high moisture cover crop 3 Passes,,
14,PHPLMCC1P,Plough high pressure low moisture cover crop 1 Pass,,
15,PHPHMNC3P,Plough high pressure high moisture no cover crop 3 Passes,,
16,PLPLMCC1P,Plough low pressure low moisture cover crop low 1 Pass,,
17,MHPHMCC1P,Min Till high pressure high moisture cover crop 1 Pass,,
18,MHPLMNC3P,Min Till high pressure low moisture no cover crop 3 Passes,,
19,MHPHMNC1P,Min Till high pressure high moisture no cover crop 1 Pass,,
20,MLPHMNC3P,Min Till low pressure high moisture no cover crop 3 Passes ,,
21,MLPLMCC3P,Min Till low pressure low moisture cover crop 3 Passes,,
22,MHPLMCC3P,Min Till high pressure low moisture cover crop 3 Passes,,
23,MHPLMCC1P,Min Till high pressure low moisture cover crop 1 Pass,,
24,MLPHMCC3P,Min Till low pressure high moisture cover crop 3 Passes,,
25,MLPLMNC1P,Min Till low pressure low moisture no cover crop 1 Pass,,
26,MHPLMNC1P,Min Till high pressure low moisture no cover crop 1 Pass,,
27,MLPLMNC3P,Min Till low pressure low moisture no cover crop 3 Passes,,
28,MHPHMCC3P,Min Till high pressure high moisture cover crop 3 Passes,,
29,MLPLMCC1P,Min Till low pressure low moisture cover crop 1 Pass,,
30,MLPHMNC1P,Min Till low pressure high moisture no cover crop 1 Pass,,
31,MHPHMNC3P,Min Till high pressure high moisture no cover crop 3 Passes,,
32,MLPHMCC1P,Min Till low pressure high moisture cover crop 1 Pass,,
33,PHPHMNC1P,Plough high pressure high moisture no cover crop 1 Pass,,
34,PLPHMCC1P,Plough low pressure high moisture cover crop 1 Pass,,
35,PLPHMNC3P,Plough low pressure high moisture no cover crop 3 Passes,,
36,PHPLMNC3P,Plough high pressure low moisture no cover crop 3 Passes,,
37,PLPLMCC3P,Plough low pressure low moisture cover crop 3 Passes,,
38,PLPHMCC3P,Plough low pressure high moisture cover crop 3 Passes,,
39,PHPLMCC3P,Plough high pressure low moisture cover crop 3 Passes,,
40,PLPHMNC1P,Plough low pressure high moisture no cover crop 1 Pass,,
41,PHPLMCC1P,Plough high pressure low moisture cover crop 1 Pass,,
42,PLPLMNC3P,Plough low pressure low moisture no cover crop 3 Passes,,
43,PHPHMCC1P,Plough high pressure high moisture cover crop 1 Pass,,
44,PLPLMNC1P,Plough low pressure low moisture no cover crop 1 Pass,,
45,PHPHMCC3P,Plough high pressure high moisture cover crop 3 Passes,,
46,PHPLMNC1P,Plough high pressure low moisture no cover crop 1 Pass,,
47,PLPLMCC1P,Plough low pressure low moisture cover crop 1 Pass,,
48,PHPHMNC3P,Plough high pressure high moisture no cover crop 3 Passes,,
49,MLPHMCC1P,Min Till low pressure high moisture cover crop 1 Pass,,
50,MHPHMNC3P,Min Till high pressure high moisture no cover crop 3 Passes,,
51,MHPLMNC1P,Min Till high pressure low moisture no cover crop 1 pass,,
52,MHPHMCC3P,Min Till high pressure high moisture cover crop 3 Passes,,
53,MLPLMNC3P,Min Till low pressure low moisture no cover crop 3 Passes,,
54,MHPHMCC1P,Min Till high pressure high moisture cover crop 1 Pass,,
55,MLPHMCC3P,Min Till low pressure high moisture cover crop 3 Passes,,
56,MLPHMNC3P,Min Till low pressure high moisture no cover crop 3 Passes ,,
57,MLPLMCC3P,Min Till low pressure low moisture cover crop 3 Passes,,
58,MLPHMNC1P,Min Till low pressure high moisture no cover crop 1 Pass,,
59,MHPLMCC3P,Min Till high pressure low moisture cover crop 3 Passes,,
60,MHPHMNC1P,Min Till high pressure high moisture no cover crop 1 Pass,,
61,MHPLMCC1P,Min Till high pressure low moisture cover crop 1 Pass,,
62,MLPLMCC1P,Min Till low pressure low moisture cover crop 1 Pass,,
63,MHPLMNC3P,Min Till high pressure low moisture no cover crop 3 Passes,,
64,MLPLMNC1P,Min Till low pressure low moisture no cover crop 1 Pass,,
65,PLPHMCC1P,Plough low pressure high moisture cover crop 1 Pass,,
66,PLPLMCC3P,Plough low pressure low moisture cover crop 3 Passes,,
67,PLPHMNC3P,Plough low pressure high moisture no cover crop 3 Passes,,
68,PHPHMCC3P,Plough high pressure high moisture cover crop 3 Passes,,
69,PHPLMNC3P,Plough high pressure low moisture no cover crop 3 Passes,,
70,PHPHMNC3P,Plough high pressure high moisture no cover crop 3 Passes,,
